trace,band,mean_dB,max_dB
Sdd11,0-14 GHz,40.764952017316155,72.70808414626279
Sdd11,14-28 GHz,26.79497906808075,55.39502988518678
Sdd11,28-56 GHz,9.0038871552301,18.498913021613895
Sdd11,56-100 GHz,12.345408656542743,21.253449230779182
Sdd21,0-14 GHz,31.067234142776638,48.13942328976437
Sdd21,14-28 GHz,17.399516531996234,31.445324103746334
Sdd21,28-56 GHz,12.311345065399536,19.67028052802635
Sdd21,56-100 GHz,19.249389084082107,27.249297559732867
Scc11,0-14 GHz,52.0296537727227,64.51014506429009
Scc11,14-28 GHz,35.72650930240504,50.15334565893931
Scc11,28-56 GHz,19.893981016418877,27.647916321920356
Scc11,56-100 GHz,20.18454911858962,31.262855131448216
Scd21,0-14 GHz,68.16675348447704,81.1705247858485
Scd21,14-28 GHz,43.06032396913701,57.89266397254493
Scd21,28-56 GHz,29.561307020309503,35.72103449105609
Scd21,56-100 GHz,24.063176523130117,43.76239556395508
